Regulated-By from All promoters of E. coli K-12 substr. MG1655	Matches	Mode	Promoters - genes downstream of promoter	Accession-1
Regulation of napFp1 by DNA-binding transcriptional dual regulator NarP-phosphorylated	napFp1	+	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	b2194 // b2195 // b2196 // b2197 // b2198 // b2199 // b2200 // b2201 // b2202 // b2203 // b2204 // b2205 // b2206 // b2207 // b2208
Regulation of napFp1 by FlhDC DNA-binding transcriptional dual regulator	napFp1	+	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	b2194 // b2195 // b2196 // b2197 // b2198 // b2199 // b2200 // b2201 // b2202 // b2203 // b2204 // b2205 // b2206 // b2207 // b2208
Regulation of napFp2 by DNA-binding transcriptional dual regulator ModE-molybdate	napFp2	+	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	b2194 // b2195 // b2196 // b2197 // b2198 // b2199 // b2200 // b2201 // b2202 // b2203 // b2204 // b2205 // b2206 // b2207 // b2208
Regulation of napFp2 by DNA-binding transcriptional dual regulator NarL-phosphorylated	napFp2	-	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	b2194 // b2195 // b2196 // b2197 // b2198 // b2199 // b2200 // b2201 // b2202 // b2203 // b2204 // b2205 // b2206 // b2207 // b2208
Regulation of napFp2 by DNA-binding transcriptional dual regulator NarL-phosphorylated	napFp2	-	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	b2194 // b2195 // b2196 // b2197 // b2198 // b2199 // b2200 // b2201 // b2202 // b2203 // b2204 // b2205 // b2206 // b2207 // b2208
Regulation of napFp2 by DNA-binding transcriptional dual regulator NarP-phosphorylated	napFp2	-	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	b2194 // b2195 // b2196 // b2197 // b2198 // b2199 // b2200 // b2201 // b2202 // b2203 // b2204 // b2205 // b2206 // b2207 // b2208
Regulation of napFp2 by DNA-binding transcriptional dual regulator NarP-phosphorylated	napFp2	-	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	b2194 // b2195 // b2196 // b2197 // b2198 // b2199 // b2200 // b2201 // b2202 // b2203 // b2204 // b2205 // b2206 // b2207 // b2208
Regulation of napFp2 by FlhDC DNA-binding transcriptional dual regulator	napFp2	+	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	b2194 // b2195 // b2196 // b2197 // b2198 // b2199 // b2200 // b2201 // b2202 // b2203 // b2204 // b2205 // b2206 // b2207 // b2208
Regulation of napFp3 by DNA-binding transcriptional dual regulator IscR	napFp3	-	napC // napB // napH // napG // napA // napD // napF	b2202 // b2203 // b2204 // b2205 // b2206 // b2207 // b2208
Regulation of narGp by DNA-binding transcriptional dual regulator Fis	narGp	-	narG // narH // narJ // narI	b1224 // b1225 // b1226 // b1227
Regulation of narGp by DNA-binding transcriptional dual regulator Fis	narGp	-	narG // narH // narJ // narI	b1224 // b1225 // b1226 // b1227
Regulation of narGp by DNA-binding transcriptional dual regulator FNR	narGp	+	narG // narH // narJ // narI	b1224 // b1225 // b1226 // b1227
Regulation of narGp by DNA-binding transcriptional dual regulator IHF	narGp	+	narG // narH // narJ // narI	b1224 // b1225 // b1226 // b1227
Regulation of narGp by DNA-binding transcriptional dual regulator NarL-phosphorylated	narGp	+	narG // narH // narJ // narI	b1224 // b1225 // b1226 // b1227
Regulation of narGp by DNA-binding transcriptional dual regulator NarL-phosphorylated	narGp	+	narG // narH // narJ // narI	b1224 // b1225 // b1226 // b1227
Regulation of narGp by DNA-binding transcriptional dual regulator NarL-phosphorylated	narGp	+	narG // narH // narJ // narI	b1224 // b1225 // b1226 // b1227
Regulation of narGp by DNA-binding transcriptional dual regulator NarL-phosphorylated	narGp	+	narG // narH // narJ // narI	b1224 // b1225 // b1226 // b1227
Regulation of narGp by DNA-binding transcriptional dual regulator NarL-phosphorylated	narGp	+	narG // narH // narJ // narI	b1224 // b1225 // b1226 // b1227
Regulation of narGp by DNA-binding transcriptional dual regulator NarL-phosphorylated	narGp	+	narG // narH // narJ // narI	b1224 // b1225 // b1226 // b1227
Regulation of narGp by DNA-binding transcriptional dual regulator NarL-phosphorylated	narGp	+	narG // narH // narJ // narI	b1224 // b1225 // b1226 // b1227
Regulation of narGp by DNA-binding transcriptional dual regulator NarL-phosphorylated	narGp	+	narG // narH // narJ // narI	b1224 // b1225 // b1226 // b1227
Regulation of narGp by DNA-binding transcriptional regulator RstA-phosphorylated	narGp	+	narG // narH // narJ // narI	b1224 // b1225 // b1226 // b1227
Regulation of narKp1 by DNA-binding transcriptional dual regulator Fis	narKp1	-	narS // narK	b4813 // b1223
Regulation of narKp1 by DNA-binding transcriptional dual regulator FNR	narKp1	+	narS // narK	b4813 // b1223
Regulation of narKp1 by DNA-binding transcriptional dual regulator FNR	narKp1	+	narS // narK	b4813 // b1223
Regulation of narKp1 by DNA-binding transcriptional dual regulator IHF	narKp1	+	narS // narK	b4813 // b1223
Regulation of narKp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	narKp1	+	narS // narK	b4813 // b1223
Regulation of narKp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	narKp1	+	narS // narK	b4813 // b1223
Regulation of narKp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	narKp1	+	narS // narK	b4813 // b1223
Regulation of narKp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	narKp1	+	narS // narK	b4813 // b1223
Regulation of narKp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	narKp1	+	narS // narK	b4813 // b1223
Regulation of narKp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	narKp1	+	narS // narK	b4813 // b1223
Regulation of narKp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	narKp1	+	narS // narK	b4813 // b1223
Regulation of narKp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	narKp1	+	narS // narK	b4813 // b1223
Regulation of narKp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	narKp1	+	narS // narK	b4813 // b1223
Regulation of narKp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	narKp1	+	narS // narK	b4813 // b1223
Regulation of narQp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	narQp	-	narQ	b2469
Regulation of narXp by DNA-binding transcriptional dual regulator FNR	narXp	-	narL // narX	b1221 // b1222
Regulation of narXp by DNA-binding transcriptional dual regulator FNR	narXp	-	narL // narX	b1221 // b1222
Regulation of narXp by DNA-binding transcriptional dual regulator FNR	narXp	-	narL // narX	b1221 // b1222
Regulation of narXp by DNA-binding transcriptional dual regulator ModE-molybdate	narXp	+	narL // narX	b1221 // b1222
Regulation of ndhp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	ndhp	-	ndh	b1109
Regulation of ndhp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	ndhp	-	ndh	b1109
Regulation of ndhp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	ndhp	-	ndh	b1109
Regulation of ndhp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	ndhp	-	ndh	b1109
Regulation of ndhp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	ndhp	-	ndh	b1109
Regulation of ndhp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	ndhp	-	ndh	b1109
Regulation of ndhp by DNA-binding transcriptional dual regulator Fis	ndhp	-	ndh	b1109
Regulation of ndhp by DNA-binding transcriptional dual regulator Fis	ndhp	+	ndh	b1109
Regulation of ndhp by DNA-binding transcriptional dual regulator Fis	ndhp	+	ndh	b1109
Regulation of ndhp by DNA-binding transcriptional dual regulator FNR	ndhp	-	ndh	b1109
Regulation of ndhp by DNA-binding transcriptional dual regulator FNR	ndhp	-	ndh	b1109
Regulation of ndhp by DNA-binding transcriptional dual regulator IHF	ndhp	-	ndh	b1109
Regulation of ndhp by DNA-binding transcriptional dual regulator IHF	ndhp	-	ndh	b1109
Regulation of ndhp by DNA-binding transcriptional dual regulator IHF	ndhp	-	ndh	b1109
Regulation of ndhp by DNA-binding transcriptional dual regulator NsrR	ndhp	-	ndh	b1109
Regulation of ndhp by DNA-binding transcriptional dual regulator PdhR	ndhp	-	ndh	b1109
Regulation of ndhp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	ndhp	-	ndh	b1109
Regulation of nemRp by DNA-binding transcriptional dual regulator RutR	nemRp	-	gloA // nemA // nemR	b1651 // b1650 // b1649
Regulation of nemRp by DNA-binding transcriptional repressor NemR	nemRp	-	gloA // nemA // nemR	b1651 // b1650 // b1649
Regulation of nepIp by DNA-binding transcriptional dual regulator SoxS	nepIp	+	nepI	b3662
Regulation of nfeRp by DNA-binding transcriptional dual regulator FNR	nfeRp	+	nfeR	b3071
Regulation of nfeRp by DNA-binding transcriptional repressor NfeR	nfeRp	-	nfeR	b3071
Regulation of nfop by DNA-binding transcriptional dual regulator MarA	nfop	+	nfo	b2159
Regulation of nfop by DNA-binding transcriptional dual regulator Rob	nfop	+	nfo	b2159
Regulation of nfop by DNA-binding transcriptional dual regulator SoxS	nfop	+	nfo	b2159
Regulation of nfop by DNA-binding transcriptional dual regulator SoxS	nfop	+	nfo	b2159
Regulation of nfsBp by DNA-binding transcriptional dual regulator MarA	nfsBp	+	nfsB	b0578
Regulation of nfsBp by DNA-binding transcriptional dual regulator Rob	nfsBp	+	nfsB	b0578
Regulation of nfsBp by DNA-binding transcriptional dual regulator SoxS	nfsBp	+	nfsB	b0578
Regulation of nfuAp1 by DNA-binding transcriptional dual regulator IscR	nfuAp1	-	nfuA	b3414
Regulation of nhaAp1 by DNA-binding transcriptional dual regulator H-NS	nhaAp1	-	nhaR // nhaA	b0020 // b0019
Regulation of nhaAp1 by NhaR-Na+ DNA-binding transcriptional activator	nhaAp1	+	nhaR // nhaA	b0020 // b0019
Regulation of nhaAp1 by NhaR-Na+ DNA-binding transcriptional activator	nhaAp1	+	nhaR // nhaA	b0020 // b0019
Regulation of nhaAp1 by NhaR-Na+ DNA-binding transcriptional activator	nhaAp1	+	nhaR // nhaA	b0020 // b0019
Regulation of nhaAp1 by NhaR-Na+ DNA-binding transcriptional activator	nhaAp1	+	nhaR // nhaA	b0020 // b0019
Regulation of nikAp1 by DNA-binding transcriptional dual regulator FNR	nikAp1	+	nikR // nikA // nikB // nikC // nikD // nikE	b3481 // b3476 // b3477 // b3478 // b3479 // b3480
Regulation of nikAp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	nikAp1	-	nikR // nikA // nikB // nikC // nikD // nikE	b3481 // b3476 // b3477 // b3478 // b3479 // b3480
Regulation of nikAp1 by DNA-binding transcriptional repressor NikR-Ni2+	nikAp1	-	nikR // nikA // nikB // nikC // nikD // nikE	b3481 // b3476 // b3477 // b3478 // b3479 // b3480
Regulation of nimRp by DNA-binding transcriptional repressor NimR	nimRp	-	nimR	b1790
Regulation of nimRp by DNA-binding transcriptional repressor NimR	nimRp	-	nimR	b1790
Regulation of nimRp by DNA-binding transcriptional repressor NimR	nimRp	-	nimR	b1790
Regulation of nimTp by DNA-binding transcriptional repressor NimR	nimTp	-	nimT	b1791
Regulation of nimTp by DNA-binding transcriptional repressor NimR	nimTp	-	nimT	b1791
Regulation of nimTp by DNA-binding transcriptional repressor NimR	nimTp	-	nimT	b1791
Regulation of nirBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nirBp	-	nirB // nirD // nirC // cysG	b3365 // b3366 // b3367 // b3368
Regulation of nirBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nirBp	-	nirB // nirD // nirC // cysG	b3365 // b3366 // b3367 // b3368
Regulation of nirBp by DNA-binding transcriptional dual regulator Cra	nirBp	-	nirB // nirD // nirC // cysG	b3365 // b3366 // b3367 // b3368
Regulation of nirBp by DNA-binding transcriptional dual regulator Fis	nirBp	-	nirB // nirD // nirC // cysG	b3365 // b3366 // b3367 // b3368
Regulation of nirBp by DNA-binding transcriptional dual regulator Fis	nirBp	-	nirB // nirD // nirC // cysG	b3365 // b3366 // b3367 // b3368
Regulation of nirBp by DNA-binding transcriptional dual regulator Fis	nirBp	-	nirB // nirD // nirC // cysG	b3365 // b3366 // b3367 // b3368
Regulation of nirBp by DNA-binding transcriptional dual regulator FNR	nirBp	+	nirB // nirD // nirC // cysG	b3365 // b3366 // b3367 // b3368
Regulation of nirBp by DNA-binding transcriptional dual regulator H-NS	nirBp	-	nirB // nirD // nirC // cysG	b3365 // b3366 // b3367 // b3368
Regulation of nirBp by DNA-binding transcriptional dual regulator IHF	nirBp	-	nirB // nirD // nirC // cysG	b3365 // b3366 // b3367 // b3368
Regulation of nirBp by DNA-binding transcriptional dual regulator IHF	nirBp	+	nirB // nirD // nirC // cysG	b3365 // b3366 // b3367 // b3368
Regulation of nirBp by DNA-binding transcriptional dual regulator NarL-phosphorylated	nirBp	+	nirB // nirD // nirC // cysG	b3365 // b3366 // b3367 // b3368
Regulation of nirBp by DNA-binding transcriptional dual regulator NarL-phosphorylated	nirBp	+	nirB // nirD // nirC // cysG	b3365 // b3366 // b3367 // b3368
Regulation of nirBp by DNA-binding transcriptional dual regulator NarP-phosphorylated	nirBp	+	nirB // nirD // nirC // cysG	b3365 // b3366 // b3367 // b3368
Regulation of nirBp by DNA-binding transcriptional dual regulator NarP-phosphorylated	nirBp	+	nirB // nirD // nirC // cysG	b3365 // b3366 // b3367 // b3368
Regulation of nlpAp by DNA-binding transcriptional dual regulator CsgD	nlpAp	+	nlpA	b3661
Regulation of nlpAp by DNA-binding transcriptional dual regulator CsgD	nlpAp	+	nlpA	b3661
Regulation of nmpCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nmpCp	+	nmpC	b0553
Regulation of nmpCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nmpCp	+	nmpC	b0553
Regulation of nmpCp by DNA-binding transcriptional dual regulator IHF	nmpCp	-	nmpC	b0553
Regulation of nmpCp by DNA-binding transcriptional dual regulator OmpR-phosphorylated	nmpCp	-	nmpC	b0553
Regulation of nmpCp by DNA-binding transcriptional repressor MprA	nmpCp	-	nmpC	b0553
Regulation of nohAp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	nohAp	-	tfaQ // stfQ // nohA	b1546 // b1547 // b1548
Regulation of nohAp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	nohAp	-	tfaQ // stfQ // nohA	b1546 // b1547 // b1548
Regulation of norRp by DNA-binding transcriptional dual regulator NorR	norRp	-	norR	b2709
Regulation of norRp by DNA-binding transcriptional dual regulator NorR	norRp	-	norR	b2709
Regulation of norRp by DNA-binding transcriptional dual regulator NorR	norRp	-	norR	b2709
Regulation of norRp by DNA-binding transcriptional dual regulator NsrR	norRp	-	norR	b2709
Regulation of norVp by DNA-binding transcriptional dual regulator FNR	norVp	-	norW // norV	b2711 // b2710
Regulation of norVp by DNA-binding transcriptional dual regulator IHF	norVp	+	norW // norV	b2711 // b2710
Regulation of norVp by DNA-binding transcriptional dual regulator IHF	norVp	-	norW // norV	b2711 // b2710
Regulation of norVp by DNA-binding transcriptional dual regulator NarL-phosphorylated	norVp	-	norW // norV	b2711 // b2710
Regulation of norVp by DNA-binding transcriptional dual regulator NarL-phosphorylated	norVp	-	norW // norV	b2711 // b2710
Regulation of norVp by DNA-binding transcriptional dual regulator NarP-phosphorylated	norVp	-	norW // norV	b2711 // b2710
Regulation of norVp by DNA-binding transcriptional dual regulator NarP-phosphorylated	norVp	-	norW // norV	b2711 // b2710
Regulation of norVp by DNA-binding transcriptional dual regulator NorR	norVp	+	norW // norV	b2711 // b2710
Regulation of norVp by DNA-binding transcriptional dual regulator NorR	norVp	+	norW // norV	b2711 // b2710
Regulation of norVp by DNA-binding transcriptional dual regulator NorR	norVp	+	norW // norV	b2711 // b2710
Regulation of nrdAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nrdAp	+	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by DNA-binding transcriptional dual regulator ArgP	nrdAp	+	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by DNA-binding transcriptional dual regulator ArgP	nrdAp	+	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by DNA-binding transcriptional dual regulator ArgP	nrdAp	+	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by DNA-binding transcriptional dual regulator ArgP	nrdAp	+	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by DNA-binding transcriptional dual regulator ArgP	nrdAp	+	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by DNA-binding transcriptional dual regulator ArgP	nrdAp	+	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by DNA-binding transcriptional dual regulator Fis	nrdAp	+	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by DNA-binding transcriptional dual regulator Fis	nrdAp	+	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by DNA-binding transcriptional dual regulator Fis	nrdAp	+	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by DNA-binding transcriptional dual regulator Fis	nrdAp	+	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by DNA-binding transcriptional dual regulator Fis	nrdAp	+	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by DNA-binding transcriptional dual regulator H-NS	nrdAp	-	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by DNA-binding transcriptional dual regulator H-NS	nrdAp	-	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by DnaA-ATP	nrdAp	+	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by DnaA-ATP	nrdAp	-	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by DnaA-ATP	nrdAp	+	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by NrdR-Zn2+ DNA-binding transcriptional repressor	nrdAp	-	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdAp by NrdR-Zn2+ DNA-binding transcriptional repressor	nrdAp	-	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nrdDp by DNA-binding transcriptional dual regulator FNR	nrdDp	+	nrdG // nrdD	b4237 // b4238
Regulation of nrdDp by DNA-binding transcriptional dual regulator FNR	nrdDp	+	nrdG // nrdD	b4237 // b4238
Regulation of nrdDp by DNA-binding transcriptional dual regulator H-NS	nrdDp	-	nrdG // nrdD	b4237 // b4238
